,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_model_name,eo_category_spec,eo_model_id,eo_description,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,sap_system_status,sap_user_status,be_eo_data_row_no,operation_finish_date_iteration_0,operation_finish_date_iteration_1,operation_finish_date_iteration_2,operation_status,operation_finish_date
561,100000055011,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозеры гусеничные,25.0,Бульдозер D475A-5 №3223,2021-12-28,12,2033-12-28 00:00:00,2031-12-31,2031-12-31,УСТН,СИНХ,310.0,2031-12-31,2031-12-31,2031-12-31,Эксплуатация,2031-12-31
562,100000054780,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D85EХ,Бульдозеры гусеничные,29.0,Бульдозер D85EХ-15 №3301,2020-09-13,12,2032-09-13 00:00:00,2030-09-30,2030-09-30,УСТН,СИНХ,313.0,2030-09-30,2030-09-30,2030-09-30,Эксплуатация,2030-09-30
563,100000059062,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D85EХ,Бульдозеры гусеничные,29.0,Бульдозер D85EХ-15 №3302,2018-08-15,12,2030-08-15 00:00:00,2028-08-31,2028-08-31,УСТН,СИНХ,315.0,2028-08-31,2028-08-31,2028-08-31,Эксплуатация,2028-08-31
564,100000026775,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D85EХ,Бульдозеры гусеничные,29.0,Бульдозер D85EХ-15 №3303,2019-07-13,12,2031-07-13 00:00:00,2029-07-31,2029-07-31,УСТН,СИНХ,316.0,2029-07-31,2029-07-31,2029-07-31,Эксплуатация,2029-07-31
565,100000059060,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозеры гусеничные,21.0,Бульдозер D155A-5 №3305,2018-10-03,12,2030-10-03 00:00:00,2028-10-31,2028-10-31,УСТН,СИНХ,311.0,2028-10-31,2028-10-31,2028-10-31,Эксплуатация,2028-10-31
566,100000026791,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D63E,Бульдозеры гусеничные,26.0,Бульдозер D63E-12 №3306,2019-05-07,12,2031-05-07 00:00:00,2029-05-31,2029-05-31,УСТН,СИНХ,325.0,2029-05-31,2029-05-31,2029-05-31,Эксплуатация,2029-05-31
567,100000026792,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D63E,Бульдозеры гусеничные,26.0,Бульдозер D63E-12 №3307,2019-05-07,12,2031-05-07 00:00:00,2029-05-31,2029-05-31,УСТН,СИНХ,326.0,2029-05-31,2029-05-31,2029-05-31,Эксплуатация,2029-05-31
568,100000055032,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозеры гусеничные,27.0,Бульдозер D65PX-16 №3309,2021-02-24,12,2033-02-24 00:00:00,2031-02-28,2031-02-28,УСТН,СИНХ,324.0,2031-02-28,2031-02-28,2031-02-28,Эксплуатация,2031-02-28
569,100000054862,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозеры гусеничные,27.0,Бульдозер D65EX-16 №3310,2020-09-14,12,2032-09-14 00:00:00,2030-09-30,2030-09-30,УСТН,СИНХ,321.0,2030-09-30,2030-09-30,2030-09-30,Эксплуатация,2030-09-30
570,100000055033,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозеры гусеничные,27.0,Бульдозер D65EX-16 №3311,2021-11-12,12,2033-11-12 00:00:00,2031-11-30,2031-11-30,УСТН,СИНХ,317.0,2031-11-30,2031-11-30,2031-11-30,Эксплуатация,2031-11-30
573,100000054863,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозеры гусеничные,27.0,Бульдозер D65EX-16 №3314,2020-09-13,12,2032-09-13 00:00:00,2030-09-30,2030-09-30,УСТН,СИНХ,322.0,2030-09-30,2030-09-30,2030-09-30,Эксплуатация,2030-09-30
574,100000054864,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозеры гусеничные,27.0,Бульдозер D65EX-16 №3315,2020-09-14,12,2032-09-14 00:00:00,2030-09-30,2030-09-30,УСТН,СИНХ,323.0,2030-09-30,2030-09-30,2030-09-30,Эксплуатация,2030-09-30
575,100000055034,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозеры гусеничные,27.0,Бульдозер D65EX-16 №3316,2021-12-20,12,2033-12-20 00:00:00,2031-12-31,2031-12-31,УСТН,СИНХ,318.0,2031-12-31,2031-12-31,2031-12-31,Эксплуатация,2031-12-31
576,100000055035,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозеры гусеничные,27.0,Бульдозер D65EX-16 №3317,2021-11-12,12,2033-11-12 00:00:00,2031-11-30,2031-11-30,УСТН,СИНХ,319.0,2031-11-30,2031-11-30,2031-11-30,Эксплуатация,2031-11-30
577,100000055013,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D85EХ,Бульдозеры гусеничные,29.0,Бульдозер D85EX-15 №3318,2021-02-23,12,2033-02-23 00:00:00,2031-02-28,2031-02-28,УСТН,СИНХ,314.0,2031-02-28,2031-02-28,2031-02-28,Эксплуатация,2031-02-28
578,100000058898,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №38,2012-05-28,12,2024-05-28 00:00:00,2023-04-30,2023-04-30,УСТН,СИНХ,385.0,2023-04-30,2023-04-30,2023-04-30,Эксплуатация,2023-04-30
579,100000058899,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №39,2013-03-14,12,2025-03-14 00:00:00,2024-01-01,2024-01-01,УСТН,СИНХ,386.0,2023-03-31,2023-03-31,2023-03-31,Эксплуатация,2024-01-01
580,100000058900,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №42,2014-12-31,12,2026-12-31 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,387.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
581,100000058901,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №43,2014-12-16,12,2026-12-16 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,388.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
582,100000058902,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №44,2012-11-02,12,2024-11-02 00:00:00,2024-11-30,2024-11-30,УСТН,СИНХ,389.0,2024-11-30,2024-11-30,2024-11-30,Эксплуатация,2024-11-30
583,100000058903,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №45,2013-01-24,12,2025-01-24 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,390.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
584,100000058904,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №46,2013-01-26,12,2025-01-26 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,391.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
585,100000058905,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5 №47,2012-11-27,12,2024-11-27 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,392.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
586,100000058907,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозеры гусеничные,21.0,Бульдозер D155A-5 №48,2012-08-02,12,2024-08-02 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,394.0,2024-09-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
587,100000058908,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозеры гусеничные,21.0,Бульдозер D155A-5 №49,2012-08-02,12,2024-08-02 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,395.0,2024-09-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
588,100000058911,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D63E,Бульдозеры гусеничные,26.0,Бульдозер D63E-12 №53,2014-10-22,12,2026-10-22 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,397.0,2024-10-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
589,100000058912,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D63E,Бульдозеры гусеничные,26.0,Бульдозер D63E-12 №54,2014-10-22,12,2026-10-22 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,398.0,2024-10-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
590,100000077982,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозеры гусеничные,27.0,Бульдозер D65EX-16 №3319,2021-12-20,12,2033-12-20 00:00:00,2031-12-31,2031-12-31,УСТН,,320.0,2031-12-31,2031-12-31,2031-12-31,Эксплуатация,2031-12-31
594,100000027472,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозеры гусеничные,21.0,Бульдозер D155A-5 №3322,2007-02-27,12,2019-02-27 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,396.0,2023-06-30,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
595,100000048874,1100.0,head,"АО ""Полюс Красноярск""",E05_02,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозеры гусеничные,24.0,Бульдозер D375A-5D №3228,2019-06-01,12,2031-06-01 00:00:00,2029-06-30,2029-06-30,УСТН,СИНХ,297.0,2029-06-30,2029-06-30,2029-06-30,Эксплуатация,2029-06-30
596,100000058939,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №07,2012-08-23,12,2024-08-23 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,416.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
597,100000058933,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №12,2012-08-23,12,2024-08-23 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,417.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
598,100000058934,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №13,2012-08-23,12,2024-08-23 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,418.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
599,100000058935,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №14,2012-08-23,12,2024-08-23 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,419.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
600,100000058936,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №15,2012-08-23,12,2024-08-23 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,420.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
601,100000058920,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Гидравлические экскаваторы с объемом ковша 1-5 м3,102.0,Экскаватор гидравл. ЕК 270LC №17,2010-08-10,12,2022-08-10 00:00:00,2023-03-31,2023-03-31,УСТН,СИНХ,425.0,2023-03-31,2023-03-31,2023-03-31,Эксплуатация,2023-03-31
602,100000026794,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Гидравлические экскаваторы с объемом ковша 1-5 м3,102.0,Экскаватор гидравл. ЕК 270LC №3608,2019-11-01,12,2031-11-01 00:00:00,2026-11-30,2026-11-30,УСТН,СИНХ,367.0,2026-11-30,2026-11-30,2026-11-30,Эксплуатация,2026-11-30
603,100000026788,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №3609,2019-07-06,12,2031-07-06 00:00:00,2029-07-31,2029-07-31,УСТН,СИНХ,362.0,2029-07-31,2029-07-31,2029-07-31,Эксплуатация,2029-07-31
604,100000059018,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Гидравлические экскаваторы с объемом ковша 1-5 м3,102.0,Экскаватор гидравл. ЕК 270LC №601,2015-11-14,12,2027-11-14 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,423.0,2022-11-30,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
605,100000059035,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Гидравлические экскаваторы с объемом ковша 1-5 м3,102.0,Экскаватор гидравл. ЕК 270LC №604,2016-11-20,12,2028-11-20 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,422.0,2022-12-31,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
606,100000059053,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №605,2017-07-21,12,2029-07-21 00:00:00,2027-07-31,2027-07-31,УСТН,СИНХ,363.0,2027-07-31,2027-07-31,2027-07-31,Эксплуатация,2027-07-31
607,100000059051,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Гидравлические экскаваторы с объемом ковша 1-5 м3,102.0,Экскаватор гидравл. ЕК 270LC №606,2017-08-31,12,2029-08-31 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,424.0,2022-12-31,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
608,100000059052,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №607,2017-12-25,12,2029-12-25 00:00:00,2027-12-31,2027-12-31,УСТН,СИНХ,364.0,2027-12-31,2027-12-31,2027-12-31,Эксплуатация,2027-12-31
609,100000030461,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 450FS,Гидравлические экскаваторы с объемом ковша 1-5 м3,103.0,Экскаватор гидравл. ЕК 450FS №04,2011-11-05,12,2023-11-05 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,426.0,2022-12-31,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
610,100000030466,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 450FS,Гидравлические экскаваторы с объемом ковша 1-5 м3,103.0,Экскаватор гидравл. ЕК 450FS №05,2012-03-14,12,2024-03-14 00:00:00,2023-12-31,2023-12-31,ВНСИ УСТН,СИНХ,427.0,2022-12-31,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
611,100000058926,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №26,2011-02-07,12,2023-02-07 00:00:00,2023-04-30,2023-04-30,УСТН,СИНХ,410.0,2023-04-30,2023-04-30,2023-04-30,Эксплуатация,2023-04-30
612,100000058921,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA900-3,Погрузчики фронтальные,57.0,Погрузчик фронтальный WA900-3 №28,2011-03-15,12,2023-03-15 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,373.0,2023-02-28,2023-12-31,2022-12-31,Эксплуатация,2023-12-31
613,100000058922,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA800-3,Погрузчики фронтальные,56.0,Погрузчик фронтальный WA800-3 №30,2017-12-31,12,2029-12-31 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,375.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
614,100000027475,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный 994K,Погрузчики фронтальные,43.0,Погрузчик фронтальный 994K №3503,2018-11-03,12,2030-11-03 00:00:00,2026-11-30,2026-11-30,УСТН,СИНХ,372.0,2026-11-30,2026-11-30,2026-11-30,Эксплуатация,2026-11-30
615,100000027473,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчики фронтальные,52.0,Погрузчик фронтальный WA600-6 №3505,2018-11-01,12,2030-11-01 00:00:00,2028-11-30,2028-11-30,УСТН,СИНХ,343.0,2028-11-30,2028-11-30,2028-11-30,Эксплуатация,2028-11-30
616,100000055023,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчики фронтальные,52.0,Погрузчик фронтальный WA600-6 №3507,2021-03-10,12,2033-03-10 00:00:00,2031-03-31,2031-03-31,УСТН,СИНХ,346.0,2031-03-31,2031-03-31,2031-03-31,Эксплуатация,2031-03-31
617,100000036783,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный HL780-9S,Погрузчики фронтальные,45.0,Погрузчик фронтальный HL780-9S №3508,2019-11-01,12,2031-11-01 00:00:00,2029-11-30,2029-11-30,УСТН,СИНХ,352.0,2029-11-30,2029-11-30,2029-11-30,Эксплуатация,2029-11-30
618,100000026795,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA430-6,Погрузчики фронтальные,47.0,Погрузчик фронтальный WA430-6 №3509,2019-07-10,12,2031-07-10 00:00:00,2029-07-31,2029-07-31,УСТН,СИНХ,350.0,2029-07-31,2029-07-31,2029-07-31,Эксплуатация,2029-07-31
619,100000054867,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA430-6,Погрузчики фронтальные,47.0,Погрузчик фронтальный WA430-6 №3510,2020-09-19,12,2032-09-19 00:00:00,2030-09-30,2030-09-30,УСТН,СИНХ,351.0,2030-09-30,2030-09-30,2030-09-30,Эксплуатация,2030-09-30
620,100000054865,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA470-6,Погрузчики фронтальные,48.0,Погрузчик фронтальный WA470-6А №3512,2021-02-04,12,2033-02-04 00:00:00,2031-02-28,2031-02-28,УСТН,НПВЭ СИНХ,349.0,2031-02-28,2031-02-28,2031-02-28,Эксплуатация,2031-02-28
621,100000055024,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчики фронтальные,52.0,Погрузчик фронтальный WA600-6 №3513,2021-02-12,12,2033-02-12 00:00:00,2031-02-28,2031-02-28,УСТН,СИНХ,344.0,2031-02-28,2031-02-28,2031-02-28,Эксплуатация,2031-02-28
622,100000055025,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчики фронтальные,52.0,Погрузчик фронтальный WA600-6 №3514,2021-10-11,12,2033-10-11 00:00:00,2031-10-31,2031-10-31,УСТН,СИНХ,345.0,2031-10-31,2031-10-31,2031-10-31,Эксплуатация,2031-10-31
623,100000058937,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №37,2013-04-05,12,2025-04-05 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,406.0,2023-03-31,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
624,100000058924,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,Погрузчики фронтальные,51.0,Погрузчик фронтальный WA600-3 №39,2012-09-17,12,2024-09-17 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,404.0,2023-03-31,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
625,100000058925,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,Погрузчики фронтальные,51.0,Погрузчик фронтальный WA600-3 №40,2012-09-17,12,2024-09-17 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,405.0,2022-09-30,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
626,100000058927,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №50,2012-10-07,12,2024-10-07 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,407.0,2024-09-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
627,100000059033,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №502,2015-12-26,12,2027-12-26 00:00:00,2025-10-31,2025-10-31,УСТН,СИНХ,347.0,2025-10-31,2025-10-31,2025-10-31,Эксплуатация,2025-10-31
628,100000059038,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA900-3,Погрузчики фронтальные,57.0,Погрузчик фронтальный WA900-3 №506,2016-07-15,12,2028-07-15 00:00:00,2027-06-30,2027-06-30,УСТН,СИНХ,374.0,2027-06-30,2027-06-30,2027-06-30,Эксплуатация,2027-06-30
629,100000058928,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №51,2012-10-05,12,2024-10-05 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,408.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
630,100000058929,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №52,2012-10-01,12,2024-10-01 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,409.0,2024-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
631,100000066506,1100.0,head,"АО ""Полюс Красноярск""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3A №3517,2019-06-01,12,2031-06-01 00:00:00,2029-06-30,2029-06-30,УСТН,СИНХ,348.0,2029-06-30,2029-06-30,2029-06-30,Эксплуатация,2029-06-30
632,100000055026,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №3615,2021-01-28,12,2033-01-28 00:00:00,2030-12-31,2030-12-31,УСТН,НПВЭ СИНХ,365.0,2030-12-31,2030-12-31,2030-12-31,Эксплуатация,2030-12-31
633,100000055027,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №3616,2021-02-01,12,2033-02-01 00:00:00,2031-02-28,2031-02-28,УСТН,СИНХ,366.0,2031-02-28,2031-02-28,2031-02-28,Эксплуатация,2031-02-28
634,100000062742,1100.0,head,"АО ""Полюс Красноярск""",E05_01,Бульдозеры колесные,Бульдозер К-703МА,Бульдозеры колесные,17.0,Бульдозер К-703МА-12-04 №14,2010-08-30,12,2022-08-30 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,411.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
635,100000065965,1100.0,head,"АО ""Полюс Красноярск""",E05_01,Бульдозеры колесные,Бульдозер К-703МА,Бульдозеры колесные,17.0,Бульдозер К-703МА-12-04 №15,2010-08-10,12,2022-08-10 00:00:00,2023-02-28,2023-02-28,УСТН,СИНХ,412.0,2023-02-28,2023-02-28,2023-02-28,Эксплуатация,2023-02-28
636,100000065962,1100.0,head,"АО ""Полюс Красноярск""",E05_01,Бульдозеры колесные,Бульдозер колесный WD600-6,Бульдозеры колесные,18.0,Бульдозер WD600-6 №207,2017-09-01,12,2029-09-01 00:00:00,2027-09-30,2027-09-30,УСТН,СИНХ,329.0,2027-09-30,2027-09-30,2027-09-30,Эксплуатация,2027-09-30
637,100000065963,1100.0,head,"АО ""Полюс Красноярск""",E05_01,Бульдозеры колесные,Бульдозер колесный WD600-6,Бульдозеры колесные,18.0,Бульдозер WD600-6 №208,2017-09-13,12,2029-09-13 00:00:00,2027-09-30,2027-09-30,УСТН,СИНХ,330.0,2027-09-30,2027-09-30,2027-09-30,Эксплуатация,2027-09-30
638,100000065953,1100.0,head,"АО ""Полюс Красноярск""",E05_01,Бульдозеры колесные,Бульдозер WD600-3,Бульдозеры колесные,33.0,Бульдозер WD600-3 №25,2007-12-20,12,2019-12-20 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,400.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2023-12-31
