,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_model_name,eo_category_spec,eo_model_id,eo_description,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,sap_system_status,sap_user_status,be_eo_data_row_no,operation_finish_date_iteration_0,operation_finish_date_iteration_1,operation_finish_date_iteration_2,operation_status,conservation_start_date
18,100000021364,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,72.0,Самосвал карьерный HD1500-8 №1625,2020-04-01,12,2032-04-01 00:00:00,2030-04-01,2030-04-01 00:00:00,УСТН,,,,,,,
19,100000021466,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,72.0,Самосвал карьерный HD1500-8 №1626,2020-08-01,12,2032-08-01 00:00:00,2030-08-01,2030-08-01 00:00:00,УСТН,,,,,,,
20,100000022743,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,72.0,Самосвал карьерный HD1500-8 №1627,2021-01-01,12,2033-01-01 00:00:00,2031-01-01,2031-01-01 00:00:00,УСТН,,,,,,,
21,100000022744,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,72.0,Самосвал карьерный HD1500-8 №1628,2021-01-01,12,2033-01-01 00:00:00,2031-01-01,2031-01-01 00:00:00,УСТН,,,,,,,
22,100000022783,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,72.0,Самосвал карьерный HD1500-8 №1629,2020-12-20,12,2032-12-20 00:00:00,2031-01-01,2031-01-01 00:00:00,УСТН,,,,,,,
23,100000071921,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,72.0,Самосвал карьерный HD1500-8 №1630,2022-01-01,12,2034-01-01 00:00:00,2032-01-01,2032-01-01 00:00:00,УСТН,,,,,,,
24,100000007090,1200.0,head,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,Автогрейдер 18M3,Автогрейдеры,4.0,Автогрейдер 18M3 №1501,2019-09-01,12,2031-09-01 00:00:00,2029-09-01,2029-09-01 00:00:00,УСТН,,,,,,,
25,100000009181,1200.0,head,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,Автогрейдер ДЗ-98,Автогрейдеры,7.0,Автогрейдер ДЗ-98В.00100-110 №1504,2013-12-31,12,2025-12-31 00:00:00,2024-03-20,2024-03-20 00:00:00,УСТН,,,,,,,
26,100000009182,1200.0,head,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,Автогрейдер ДЗ-98,Автогрейдеры,7.0,Автогрейдер ДЗ-98В.00100-110 №1505,2013-12-31,12,2025-12-31 00:00:00,2026-03-21,2026-03-21 00:00:00,УСТН,КОНС,,,,,,
27,100000009179,1200.0,head,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,Автогрейдер TG230A,Автогрейдеры,10.0,Автогрейдер TG230A №1506,2014-09-20,12,2026-09-20 00:00:00,2024-09-20,2024-09-20 00:00:00,МТКУ УСТН,КОНС,,,,,,
28,100000009180,1200.0,head,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,Автогрейдер TG230A,Автогрейдеры,10.0,Автогрейдер TG230A №1507,2014-09-20,12,2026-09-20 00:00:00,2024-09-20,2024-09-20 00:00:00,УСТН,,,,,,,
29,100000068268,1200.0,head,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,Автогрейдер САТ 140М,Автогрейдеры,8.0,Автогрейдер САТ 140М №1503,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,УСТН,,,,,,,
30,100000068227,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7547,Автосамосвалы в классе 40-85тонн,62.0,Самосвал карьерный БЕЛАЗ-7547 №2441,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,УСТН,,,,,,,
31,100000068228,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7547,Автосамосвалы в классе 40-85тонн,62.0,Самосвал карьерный БЕЛАЗ-7547 №2442,2021-02-01,12,2033-02-01 00:00:00,,2033-02-01 00:00:00,УСТН,,,,,,,
32,100000068229,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7547,Автосамосвалы в классе 40-85тонн,62.0,Самосвал карьерный БЕЛАЗ-7547 №2443,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,УСТН,,,,,,,
33,100000068230,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7547,Автосамосвалы в классе 40-85тонн,62.0,Самосвал карьерный БЕЛАЗ-7547 №2444,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,УСТН,,,,,,,
34,100000068231,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7547,Автосамосвалы в классе 40-85тонн,62.0,Самосвал карьерный БЕЛАЗ-7547 №2445,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,УСТН,,,,,,,
35,100000068232,1200.0,head,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7547,Автосамосвалы в классе 40-85тонн,62.0,Самосвал карьерный БЕЛАЗ-7547 №2446,2021-02-01,12,2033-02-01 00:00:00,,2033-02-01 00:00:00,УСТН,,,,,,,
36,100000009138,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC2000-8,Гидравлические экскаваторы с объемом ковша 11-12 м3,107.0,Экскаватор гидравл. PC2000-8 №1203,2013-02-28,12,2025-02-28 00:00:00,2024-07-01,2024-07-01 00:00:00,УСТН,,,,,,,
37,100000009136,1200.0,head,"АО ""Полюс Вернинское""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,Канатные экскаваторы с объемом ковша 5-35 м3,117.0,Экскаватор электрический ЭКГ-10 №1207,2007-10-30,12,2019-10-30 00:00:00,2024-07-01,2024-07-01 00:00:00,УСТН,,,,,,,
38,100000009137,1200.0,head,"АО ""Полюс Вернинское""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,Канатные экскаваторы с объемом ковша 5-35 м3,117.0,Экскаватор электрический ЭКГ-10 №1208,2007-08-30,12,2019-08-30 00:00:00,2024-08-30,2024-08-30 00:00:00,УСТН,,,,,,,
39,100000007087,1200.0,head,"АО ""Полюс Вернинское""",E03_02,Экскаваторы электрические,Экскаваторы WK-20,Канатные экскаваторы с объемом ковша 18-35 м3,125.0,Экскаватор электрический WK-20 №1220,2019-06-30,12,2031-06-30 00:00:00,2026-06-30,2026-06-30 00:00:00,УСТН,,,,,,,
40,100000068233,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор PC1250-8,Гидравлические экскаваторы с объемом ковша 6-7 м3,114.0,Экскаватор PC1250-8 №1204,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,УСТН,,,,,,,
41,100000009147,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный 992K,Погрузчики фронтальные,41.0,Погрузчик фронтальный 992K №1304,2012-07-30,12,2024-07-30 00:00:00,2024-07-01,2024-07-01 00:00:00,УСТН,,,,,,,
42,100000008675,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №1201,2013-04-26,12,2025-04-26 00:00:00,2024-04-26,2024-04-26 00:00:00,УСТН,,,,,,,
43,100000008676,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №1202,2013-04-26,12,2025-04-26 00:00:00,2024-04-26,2024-04-26 00:00:00,УСТН,,,,,,,
44,100000006414,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400LC-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,111.0,Экскаватор гидравл. PC400LC-7 №1210,2019-03-22,12,2031-03-22 00:00:00,2026-03-22,2026-03-22 00:00:00,УСТН,,,,,,,
