,eo_code,be_code,be_description,eo_class_code,eo_class_description,eo_model_id,eo_model_name,eo_category_spec,eo_description,operation_status_rus,sap_user_status,sap_system_status,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,operation_finish_date_update_iteration,operation_finish_date,iteration_name,year,in_operation,add_new
13,100000008665,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №1607,,КОНС,УСТН,2007-10-30,12,2019-10-30 00:00:00,2021-12-30,2021-12-30 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
14,100000006408,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1621,,,УСТН,2019-03-01,12,2031-03-01 00:00:00,2029-03-01,2029-03-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
15,100000006409,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1622,,,УСТН,2019-03-01,12,2031-03-01 00:00:00,2029-03-01,2029-03-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
16,100000006410,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1623,,,УСТН,2019-03-01,12,2031-03-01 00:00:00,2029-03-01,2029-03-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
17,100000021344,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1624,,,УСТН,2020-04-01,12,2032-04-01 00:00:00,2030-04-01,2030-04-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
18,100000021364,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1625,,,УСТН,2020-04-01,12,2032-04-01 00:00:00,2030-04-01,2030-04-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
19,100000021466,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1626,,,УСТН,2020-08-01,12,2032-08-01 00:00:00,2030-08-01,2030-08-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
20,100000022743,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1627,,,УСТН,2021-01-01,12,2033-01-01 00:00:00,2031-01-01,2031-01-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
21,100000022744,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1628,,,УСТН,2021-01-01,12,2033-01-01 00:00:00,2031-01-01,2031-01-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
22,100000022783,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1629,,,УСТН,2020-12-20,12,2032-12-20 00:00:00,2031-01-01,2031-01-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
23,100000071921,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,72.0,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный HD1500-8 №1630,,,УСТН,2022-01-01,12,2034-01-01 00:00:00,2032-01-01,2032-01-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,1
24,100000007090,1200.0,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,4.0,Автогрейдер 18M3,Автогрейдеры,Автогрейдер 18M3 №1501,,,УСТН,2019-09-01,12,2031-09-01 00:00:00,2029-09-01,2029-09-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
25,100000009181,1200.0,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,7.0,Автогрейдер ДЗ-98,Автогрейдеры,Автогрейдер ДЗ-98В.00100-110 №1504,,,УСТН,2013-12-31,12,2025-12-31 00:00:00,2024-03-20,2024-03-20 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
26,100000009182,1200.0,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,7.0,Автогрейдер ДЗ-98,Автогрейдеры,Автогрейдер ДЗ-98В.00100-110 №1505,,КОНС,УСТН,2013-12-31,12,2025-12-31 00:00:00,2026-03-21,2026-03-21 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
27,100000009179,1200.0,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,10.0,Автогрейдер TG230A,Автогрейдеры,Автогрейдер TG230A №1506,,КОНС,МТКУ УСТН,2014-09-20,12,2026-09-20 00:00:00,2024-09-20,2024-09-20 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
28,100000009180,1200.0,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,10.0,Автогрейдер TG230A,Автогрейдеры,Автогрейдер TG230A №1507,,,УСТН,2014-09-20,12,2026-09-20 00:00:00,2024-09-20,2024-09-20 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
29,100000068268,1200.0,"АО ""Полюс Вернинское""",E06_01,Автогрейдеры,8.0,Автогрейдер САТ 140М,Автогрейдеры,Автогрейдер САТ 140М №1503,,,УСТН,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
30,100000068227,1200.0,"АО ""Полюс Вернинское""",E01_01,Самосвалы карьерные,62.0,Самосвалы БелАЗ-7547,Автосамосвалы в классе 40-85тонн,Самосвал карьерный БЕЛАЗ-7547 №2441,,,УСТН,2021-01-01,12,2033-01-01 00:00:00,,2033-01-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,1,0
